close,epoch,high,low,open
5169.602,1770059700,5174.92,5168.88,5174.92
5168.849,1770060600,5171.691,5165.106,5169.598
5159.153,1770061500,5168.844,5159.153,5168.844
5153.924,1770062400,5160.266,5153.924,5159.139
5145.623,1770063300,5153.902,5145.623,5153.902
5147.242,1770064200,5148.741,5140.315,5145.6
5153.701,1770065100,5155.416,5145.277,5147.239
5144.353,1770066000,5153.683,5144.353,5153.683
5182.059,1770066900,5182.17,5142.93,5144.347
5172.717,1770067800,5182.045,5172.717,5182.045
5165.083,1770068700,5172.708,5163.899,5172.708
5170.835,1770069600,5170.893,5160.776,5165.067
5161.548,1770070500,5170.835,5161.548,5170.835
5152.199,1770071400,5161.538,5152.199,5161.538
5145.738,1770072300,5153.235,5145.738,5152.192
5171.672,1770073200,5175.646,5145.673,5145.721
5163.228,1770074100,5171.664,5163.228,5171.664
5154.402,1770075000,5163.224,5154.402,5163.224
5169.316,1770075900,5171.266,5151.583,5154.395
5161.213,1770076800,5169.301,5161.123,5169.301
5171.717,1770077700,5176.844,5157.233,5161.2
5162.907,1770078600,5171.71,5162.907,5171.71
5174.046,1770079500,5178.745,5162.892,5162.892
5187.698,1770080400,5189.962,5170.875,5174.039
5196.045,1770081300,5197.664,5183.888,5187.696
5207.811,1770082200,5208.827,5194.5,5196.029
5201.163,1770083100,5207.796,5201.163,5207.796
5195.889,1770084000,5201.163,5194.611,5201.163
5189.253,1770084900,5195.871,5189.253,5195.871
5207.185,1770085800,5211.026,5188.197,5189.24
5209.716,1770086700,5214.927,5206.369,5207.172
5211.521,1770087600,5218.077,5208.828,5209.707
5210.195,1770088500,5218.329,5210.195,5211.518
5221.938,1770089400,5222.019,5205.44,5210.171
5212.753,1770090300,5221.933,5212.753,5221.933
5203.019,1770091200,5212.735,5203.019,5212.735
5206.296,1770092100,5207.347,5195.251,5203.018
5204.901,1770093000,5211.65,5203.737,5206.279
5200.392,1770093900,5208.936,5200.392,5204.879
5201.749,1770094800,5208.735,5200.182,5200.385
5199.849,1770095700,5203.809,5196.573,5201.729
5207.539,1770096600,5210.987,5195.055,5199.841
5211.851,1770097500,5214.089,5204.927,5207.534
5202.221,1770098400,5211.843,5202.221,5211.843
5198.558,1770099300,5203.378,5197.638,5202.212
5189.419,1770100200,5198.537,5189.419,5198.537
5187.038,1770101100,5195.57,5187.038,5189.415
5178.095,1770102000,5187.021,5178.095,5187.021
5197.023,1770102900,5199.432,5172.292,5178.068
5195.933,1770103800,5201.192,5194.996,5197.022
5208.454,1770104700,5213.65,5195.088,5195.925
5200.264,1770105600,5208.445,5200.264,5208.445
5193.723,1770106500,5200.619,5193.723,5200.263
5184.292,1770107400,5193.714,5184.292,5193.714
5181.447,1770108300,5185.285,5180.213,5184.286
