close,epoch,high,low,open
3081.407,1769486400,3097.309,3080.612,3096.159
3074.772,1769487300,3083.517,3072.82,3081.411
3076.483,1769488200,3076.736,3074.413,3074.774
3082.122,1769489100,3082.122,3076.484,3076.484
3082.768,1769490000,3085.772,3080.889,3082.127
3079.383,1769490900,3087.78,3079.195,3082.772
3083.016,1769491800,3083.82,3079.386,3079.386
3088.676,1769492700,3088.676,3083.017,3083.017
3090.89,1769493600,3093.766,3088.679,3088.679
3096.482,1769494500,3096.482,3090.898,3090.898
3102.226,1769495400,3102.226,3096.488,3096.488
3102.185,1769496300,3106.174,3101.701,3102.239
3107.78,1769497200,3107.78,3102.189,3102.189
3109.669,1769498100,3112.412,3107.789,3107.789
3111.429,1769499000,3113.729,3109.674,3109.674
3111.9,1769499900,3113.864,3111.43,3111.43
3107.644,1769500800,3113.151,3104.702,3111.904
3105.171,1769501700,3108.643,3102.396,3107.647
3099.698,1769502600,3107.149,3099.624,3105.175
3099.57,1769503500,3105.087,3099.474,3099.708
3098.677,1769504400,3104.396,3097.86,3099.579
3099.869,1769505300,3099.869,3096.254,3098.678
3095.284,1769506200,3102.223,3093.005,3099.878
3098.131,1769507100,3099.334,3095.291,3095.291
3090.29,1769508000,3099.103,3088.369,3098.138
3077.611,1769508900,3090.321,3077.467,3090.296
3073.61,1769509800,3081.881,3072.816,3077.612
3066.548,1769510700,3074.028,3065.424,3073.612
3071.994,1769511600,3071.994,3066.554,3066.554
3074.76,1769512500,3074.76,3070.002,3071.997
3080.356,1769513400,3080.356,3074.769,3074.769
3073.754,1769514300,3082.605,3071.78,3080.361
3078.955,1769515200,3078.955,3073.766,3073.766
3081.562,1769516100,3081.562,3076.354,3078.958
3082.895,1769517000,3086.006,3081.566,3081.566
3086.199,1769517900,3087.133,3082.897,3082.897
3084.851,1769518800,3090.975,3084.226,3086.206
3090.185,1769519700,3090.185,3084.858,3084.858
3082.682,1769520600,3090.41,3082.506,3090.191
3088.155,1769521500,3088.155,3082.69,3082.69
3092.662,1769522400,3092.662,3087.207,3088.163
3095.282,1769523300,3095.282,3091.943,3092.67
3100.756,1769524200,3100.756,3095.285,3095.285
3097.284,1769525100,3103.234,3095.756,3100.766
3092.301,1769526000,3101.492,3091.965,3097.284
3083.138,1769526900,3092.487,3082.765,3092.308
3086.011,1769527800,3086.432,3083.142,3083.142
3087.061,1769528700,3089.18,3084.592,3086.013
3092.558,1769529600,3092.558,3087.064,3087.064
3092.298,1769530500,3096.065,3090.961,3092.57
3093.109,1769531400,3097.042,3092.307,3092.307
3088.54,1769532300,3093.79,3086.24,3093.125
3089.952,1769533200,3093.875,3088.546,3088.546
3081.098,1769534100,3092.451,3079.825,3089.963
3067.269,1769535000,3081.287,3067.144,3081.099
3054.878,1769535900,3068.585,3053.858,3067.27
3051.334,1769536800,3056.936,3049.074,3054.892
3047.52,1769537700,3052.205,3045.683,3051.337
3043.712,1769538600,3049.156,3042.421,3047.521
3036.702,1769539500,3044.966,3036.619,3043.717
3040.013,1769540400,3040.013,3036.711,3036.711
3039.957,1769541300,3042.077,3036.868,3040.02
3043.191,1769542200,3043.191,3038.097,3039.964
3041.711,1769543100,3047.785,3040.881,3043.195
3043.558,1769544000,3043.558,3039.588,3041.721
3038.22,1769544900,3045.784,3036.561,3043.558
3043.558,1769545800,3043.558,3038.226,3038.226
3037.983,1769546700,3045.36,3036.504,3043.561
3041.286,1769547600,3042.479,3037.994,3037.994
3038.725,1769548500,3042.243,3036.582,3041.288
3044.159,1769549400,3044.159,3038.728,3038.728
3044.233,1769550300,3048.887,3043.52,3044.166
3046.674,1769551200,3046.674,3042.171,3044.237
3052.197,1769552100,3052.197,3046.678,3046.678
3054.968,1769553000,3054.968,3050.639,3052.197
3058.02,1769553900,3058.647,3054.912,3054.981
3063.476,1769554800,3063.476,3058.036,3058.036
3061.484,1769555700,3065.1,3060.224,3063.482
3065.435,1769556600,3065.435,3061.274,3061.487
3065.416,1769557500,3069.922,3064.683,3065.442
3063.626,1769558400,3070.239,3063.6,3065.422
3064.935,1769559300,3064.935,3060.251,3063.636
3063.25,1769560200,3067.523,3062.249,3064.944
3068.762,1769561100,3068.762,3063.259,3063.259
3063.898,1769562000,3071.249,3063.152,3068.764
3067.287,1769562900,3067.452,3063.902,3063.902
3066.735,1769563800,3070.442,3064.197,3067.297
3067.016,1769564700,3067.016,3061.626,3066.741
3052.89,1769565600,3067.473,3051.099,3067.024
3051.328,1769566500,3054.349,3049.784,3052.894
3044.284,1769567400,3052.404,3043.852,3051.335
3045.975,1769568300,3045.975,3040.674,3044.286
3049.336,1769569200,3049.336,3045.426,3045.983
3050.304,1769570100,3050.76,3047.127,3049.336
3042.364,1769571000,3051.021,3041.986,3050.313
3047.947,1769571900,3047.947,3042.381,3042.381
3049.65,1769572800,3049.694,3045.916,3047.953
3055.02,1769573700,3055.02,3049.651,3049.651
3057.762,1769574600,3057.762,3054.548,3055.031
3061.44,1769575500,3061.44,3055.991,3057.765
3063.857,1769576400,3065.492,3061.442,3061.442
3066.184,1769577300,3066.184,3062.437,3063.858
3062.789,1769578200,3068.053,3062.537,3066.19
3056.509,1769579100,3065.11,3055.227,3062.799
3051.748,1769580000,3057.899,3049.731,3056.515
3051.215,1769580900,3053.676,3050.13,3051.756
3043.018,1769581800,3052.661,3042.088,3051.22
3046.202,1769582700,3046.202,3043.031,3043.031
3028.996,1769583600,3046.613,3027.444,3046.207
3032.526,1769584500,3032.526,3029.007,3029.007
3030.132,1769585400,3035.742,3029.262,3032.53
3035.742,1769586300,3035.742,3030.134,3030.134
3039.435,1769587200,3039.953,3035.742,3035.742
3032.876,1769588100,3039.682,3031.014,3039.437
3033.68,1769589000,3036.726,3032.353,3032.879
3033.195,1769589900,3033.749,3027.932,3033.685
3032.721,1769590800,3033.673,3027.791,3033.197
3033.768,1769591700,3033.768,3028.137,3032.726
3039.408,1769592600,3039.408,3033.777,3033.777
3044.184,1769593500,3044.184,3039.119,3039.409
3047.616,1769594400,3048.394,3044.188,3044.188
3051.268,1769595300,3051.268,3047.619,3047.619
3056.765,1769596200,3056.765,3051.281,3051.281
3059.796,1769597100,3059.796,3054.48,3056.775
3061.969,1769598000,3062.212,3058.965,3059.807
3065.35,1769598900,3065.35,3061.982,3061.982
3065.405,1769599800,3067.795,3064.635,3065.354
3069.453,1769600700,3070.221,3065.408,3065.408
