close,epoch,high,low,open
3358.179,1774689540,3358.179,3358.116,3358.116
3358.628,1774689600,3358.628,3358.517,3358.517
3358.914,1774689660,3358.914,3358.882,3358.882
3359.327,1774689720,3359.327,3359.274,3359.274
3359.874,1774689780,3359.874,3359.777,3359.777
3360.184,1774689840,3360.184,3360.184,3360.184
3360.614,1774689900,3360.614,3360.603,3360.603
3361.047,1774689960,3361.047,3361.03,3361.03
3361.456,1774690020,3361.456,3361.416,3361.416
3361.862,1774690080,3361.862,3361.829,3361.829
3362.241,1774690140,3362.241,3362.188,3362.188
3362.7,1774690200,3362.7,3362.654,3362.654
3363.095,1774690260,3363.095,3363.038,3363.038
3365.086,1774690560,3365.086,3365.036,3365.036
3365.513,1774690620,3365.513,3365.462,3365.462
3365.923,1774690680,3365.923,3365.868,3365.868
3366.268,1774690740,3366.268,3366.26,3366.26
3366.729,1774690800,3366.729,3366.715,3366.715
3367.1,1774690860,3367.1,3367.087,3367.087
3367.459,1774690920,3367.459,3367.419,3367.419
3364.834,1774691040,3364.834,3364.783,3364.783
3365.195,1774691100,3365.195,3365.136,3365.136
3365.575,1774691160,3365.575,3365.575,3365.575
3365.981,1774691220,3365.981,3365.966,3365.966
3366.353,1774691280,3366.353,3366.347,3366.347
3365.876,1774691340,3366.738,3365.853,3366.738
3366.29,1774691400,3366.29,3366.245,3366.245
3366.738,1774691460,3366.738,3366.645,3366.645
3367.145,1774691520,3367.145,3367.133,3367.133
3367.621,1774691580,3367.621,3367.612,3367.612
3364.674,1774691640,3364.674,3364.651,3364.651
3367.077,1774692000,3367.077,3367.023,3367.023
3367.464,1774692060,3367.464,3367.421,3367.421
3367.887,1774692120,3367.887,3367.826,3367.826
3368.259,1774692180,3368.259,3368.259,3368.259
3368.686,1774692240,3368.686,3368.674,3368.674
3369.044,1774692300,3369.044,3369.022,3369.022
3369.387,1774692360,3369.387,3369.374,3369.374
3369.858,1774692420,3369.858,3369.833,3369.833
1774692852,3355.730,3355.820,3355.730,3355.820
1774693115,3357.307,3357.552,3357.307,3357.552
1774693501,3360.192,3360.198,3360.192,3360.198
1774732764,3365.590,3365.745,3365.590,3365.745
1774732954,3366.779,3366.834,3363.984,3364.163
1774733784,3361.576,3361.782,3361.576,3361.782
1774782240.0,3397.09,3397.09,3397.09,3397.09
1774782300.0,3397.519,3397.519,3397.519,3397.519
1774782360.0,3397.945,3397.945,3397.945,3397.945
1774782420.0,3398.343,3398.343,3398.343,3398.343
1774782480.0,3398.281,3398.281,3398.281,3398.281
1774782540.0,3398.679,3398.679,3398.679,3398.679
1774782600.0,3399.08,3399.08,3399.08,3399.08
1774782660.0,3399.466,3399.466,3399.466,3399.466
1774782720.0,3399.845,3399.845,3399.845,3399.845
1774782780.0,3400.246,3400.246,3400.246,3400.246
1774782840.0,3400.637,3400.637,3400.637,3400.637
